id,seed_algo,seed_score,winner_algo,winner_score,improvement,recording_time
1,ails2_etaMax0.020_stoppingTime86400.00,257240.0,ails2_eoh_acc_large,257149.0,91.0,7200.850945234299
2,ails2_eoh_acc_large,257149.0,ails2_eoh_acc_large,257121.0,28.0,10801.43038892746
3,ails2_eoh_acc_large,257121.0,ails2_eoh_acc_large,257112.0,9.0,14402.08008146286
4,ails2_eoh_acc_large,257112.0,ails2_eoh_acc_large,257111.0,1.0,18002.68071746826
5,ails2_eoh_acc_large,257111.0,ails2_etaMax0.020_stoppingTime86400.00,257107.0,4.0,25203.329252243042
6,ails2_etaMax0.020_stoppingTime86400.00,257107.0,ails2_etaMax0.020_stoppingTime86400.00,257032.0,75.0,28804.120365142822
7,ails2_etaMax0.020_stoppingTime86400.00,257032.0,ails2_eoh_acc,256964.0,68.0,32404.81919002533
8,ails2_eoh_acc,256964.0,ails2_eoh_acc_large,256959.0,5.0,36005.34470105171
9,ails2_eoh_acc_large,256959.0,ails2_eoh_acc_large,256958.0,1.0,43206.044162750244
10,ails2_eoh_acc_large,256958.0,ails2_etaMax1.000_stoppingTime86400.00,256917.0,41.0,46806.648064374924
11,ails2_etaMax1.000_stoppingTime86400.00,256917.0,ails2_etaMax0.005_stoppingTime86400.00,256674.0,243.0,50407.48971796036
12,ails2_etaMax0.005_stoppingTime86400.00,256674.0,ails2_eoh_acc,256649.0,25.0,54008.27643537521
13,ails2_eoh_acc,256649.0,ails2_etaMax1.000_stoppingTime86400.00,256639.0,10.0,64809.141924619675
14,ails2_etaMax1.000_stoppingTime86400.00,256639.0,ails2_eoh_acc_large,256610.0,29.0,68410.19913554192
15,ails2_eoh_acc_large,256610.0,ails2_eoh_acc_large,256608.0,2.0,72010.85827922821
16,ails2_eoh_acc_large,256608.0,ails2_eoh_acc,256603.0,5.0,75611.47080135345
17,ails2_eoh_acc,256603.0,ails2_etaMax1.000_stoppingTime86400.00,256602.0,1.0,82812.17706489563
18,ails2_etaMax1.000_stoppingTime86400.00,256602.0,ails2_eoh_acc_large,256588.0,14.0,86412.95485591888
19,ails2_eoh_acc_large,256588.0,ails2_etaMax0.020_stoppingTime86400.00,256582.0,6.0,151215.0563943386
20,ails2_etaMax0.020_stoppingTime86400.00,256582.0,HGS-TV,256581.0,1.0,154815.5461921692
21,HGS-TV,256581.0,ails2_etaMax0.020_stoppingTime86400.00,256579.0,2.0,205217.16176080704
22,ails2_etaMax0.020_stoppingTime86400.00,256579.0,HGS-TV,256577.0,2.0,208817.50916934013
23,HGS-TV,256577.0,ails2_etaMax1.000_stoppingTime432000.00,256567.0,10.0,277219.51796126366
24,ails2_etaMax1.000_stoppingTime432000.00,256567.0,ails2_etaMax0.005_stoppingTime86400.00,256546.0,21.0,280819.9449968338
25,ails2_etaMax0.005_stoppingTime86400.00,256546.0,HGS-TV,256530.0,16.0,284420.42306518555
26,HGS-TV,256530.0,HGS-TV,256528.0,2.0,288020.83236575127
27,HGS-TV,256528.0,ails2_etaMax0.005_stoppingTime86400.00,256527.0,1.0,324022.14626455307
28,ails2_etaMax0.005_stoppingTime86400.00,256527.0,HGS-TV,256519.0,8.0,327622.69384241104
29,HGS-TV,256519.0,HGS-TV,256518.0,1.0,331223.095102787
30,HGS-TV,256518.0,ails2_etaMax1.000_stoppingTime432000.00,256516.0,2.0,374424.49465179443
