id,algo_name,score,runningtime
1,ails2_etaMax0.010_stoppingTime172800.00,1533697.0,472.45485717773437
2,ails2_eoh_acc_large,1533704.0,474.8558571777344
3,ails2_etaMax0.010_stoppingTime172800.00,1533265.0,532.2698571777344
4,ails2_eoh_acc_large,1533336.0,534.6288571777344
5,ails2_etaMax0.010_stoppingTime172800.00,1532950.0,593.3028571777344
6,ails2_eoh_acc_large,1533060.0,596.0508571777344
7,ails2_etaMax0.010_stoppingTime172800.00,1532691.0,650.6688571777344
8,ails2_eoh_acc_large,1532845.0,655.7138571777343
9,ails2_eoh_acc,1533700.0,687.9168571777344
10,ails2_etaMax0.010_stoppingTime172800.00,1532506.0,709.9428571777344
11,ails2_eoh_acc_large,1532722.0,716.2508571777344
12,ails2_eoh_acc,1533505.0,747.3018571777344
13,ails2_etaMax0.010_stoppingTime172800.00,1532416.0,774.9378571777344
14,ails2_eoh_acc_large,1532546.0,773.1768571777344
15,ails2_etaMax0.005_stoppingTime86400.00,1533708.0,782.2098571777344
16,ails2_eoh_acc,1533354.0,808.0468571777344
17,ails2_etaMax0.020_stoppingTime86400.00,1533708.0,819.2618571777343
18,ails2_etaMax0.010_stoppingTime172800.00,1532221.0,832.5778571777344
19,ails2_eoh_acc_large,1532448.0,836.8078571777344
20,ails2_etaMax0.005_stoppingTime86400.00,1533546.0,836.0668571777344
21,ails2_eoh_acc,1533240.0,870.6338571777344
22,ails2_etaMax0.020_stoppingTime86400.00,1533483.0,878.2628571777344
23,ails2_etaMax0.010_stoppingTime172800.00,1532085.0,897.7478571777344
24,ails2_eoh_acc_large,1532349.0,895.7908571777343
25,ails2_etaMax0.005_stoppingTime86400.00,1533394.0,900.9468571777344
26,ails2_eoh_omega2,1533673.0,930.0268571777344
27,ails2_eoh_acc,1533117.0,931.2008571777344
28,ails2_etaMax0.020_stoppingTime86400.00,1533391.0,904.5838571777343
29,ails2_etaMax0.010_stoppingTime172800.00,1532041.0,949.5228571777344
30,ails2_eoh_acc_large,1532326.0,949.7108571777344
31,ails2_etaMax0.005_stoppingTime86400.00,1533219.0,954.8688571777344
32,ails2_eoh_omega2,1533502.0,988.5878571777343
33,ails2_eoh_acc,1533026.0,990.5658571777344
34,ails2_etaMax0.020_stoppingTime86400.00,1533334.0,983.9368571777344
35,ails2_etaMax0.010_stoppingTime172800.00,1531996.0,1008.9828571777343
36,ails2_eoh_acc_large,1532265.0,1000.7998571777343
37,ails2_etaMax0.005_stoppingTime86400.00,1533080.0,1023.7718571777343
38,ails2_eoh_omega2,1533288.0,1041.1848571777343
39,ails2_eoh_acc,1532982.0,1053.1278571777343
40,ails2_etaMax0.020_stoppingTime86400.00,1533240.0,1050.0318571777343
41,ails2_etaMax0.010_stoppingTime172800.00,1531865.0,1076.9978571777344
42,ails2_eoh_acc_large,1532151.0,1082.0168571777344
43,ails2_etaMax0.005_stoppingTime86400.00,1532911.0,1076.9538571777343
44,ails2_eoh_omega2,1533205.0,1105.9428571777344
45,ails2_eoh_acc,1532882.0,1114.2138571777343
46,ails2_etaMax0.020_stoppingTime86400.00,1533157.0,1120.0528571777343
47,ails2_etaMax0.010_stoppingTime172800.00,1531857.0,1137.6528571777344
48,ails2_eoh_acc_large,1532082.0,1142.5068571777344
49,ails2_etaMax0.005_stoppingTime86400.00,1532707.0,1147.7918571777343
50,ails2_eoh_omega2,1533175.0,1171.4398571777344
51,ails2_eoh_acc,1532813.0,1174.6968571777343
52,ails2_etaMax0.020_stoppingTime86400.00,1532971.0,1184.6658571777343
53,ails2_etaMax0.010_stoppingTime172800.00,1531725.0,1203.0368571777344
54,ails2_eoh_acc_large,1531968.0,1201.6888571777345
55,ails2_etaMax0.005_stoppingTime86400.00,1532542.0,1207.6808571777344
56,ails2_eoh_omega2,1533045.0,1232.3108571777343
57,ails2_eoh_acc,1532763.0,1228.0338571777343
58,ails2_etaMax0.020_stoppingTime86400.00,1532946.0,1197.9118571777344
59,ails2_etaMax0.010_stoppingTime172800.00,1531700.0,1233.8308571777343
60,ails2_eoh_acc_large,1531930.0,1241.9008571777345
61,ails2_etaMax0.005_stoppingTime86400.00,1532418.0,1268.4248571777343
62,ails2_eoh_omega2,1532893.0,1293.6668571777343
63,ails2_eoh_acc,1532722.0,1293.4038571777344
64,ails2_etaMax0.010_stoppingTime172800.00,1531681.0,1315.7598571777344
65,ails2_eoh_acc_large,1531872.0,1317.6058571777344
66,ails2_etaMax0.005_stoppingTime86400.00,1532283.0,1329.2008571777344
67,ails2_eoh_omega2,1532791.0,1354.9948571777343
68,ails2_eoh_acc,1532644.0,1356.0488571777344
69,ails2_etaMax0.010_stoppingTime172800.00,1531668.0,1359.6018571777345
70,ails2_eoh_acc_large,1531847.0,1385.7708571777343
71,ails2_etaMax0.005_stoppingTime86400.00,1532174.0,1386.1318571777344
72,ails2_etaMax0.020_stoppingTime86400.00,1532944.0,1408.6058571777344
73,ails2_eoh_omega2,1532592.0,1415.5478571777344
74,ails2_eoh_acc,1532561.0,1414.8948571777344
75,ails2_etaMax0.010_stoppingTime172800.00,1531626.0,1432.5478571777344
76,ails2_eoh_acc_large,1531784.0,1444.2388571777344
77,ails2_etaMax0.005_stoppingTime86400.00,1532140.0,1436.4968571777345
78,ails2_etaMax0.020_stoppingTime86400.00,1532922.0,1450.2758571777345
79,ails2_eoh_omega2,1532540.0,1457.1498571777345
80,ails2_eoh_acc,1532483.0,1479.6128571777344
81,ails2_etaMax0.010_stoppingTime172800.00,1531595.0,1502.7458571777345
82,ails2_eoh_acc_large,1531711.0,1505.7358571777345
83,ails2_etaMax0.005_stoppingTime86400.00,1532101.0,1511.8828571777344
84,ails2_etaMax0.020_stoppingTime86400.00,1532853.0,1512.6018571777345
85,ails2_eoh_omega2,1532450.0,1519.4628571777343
86,ails2_eoh_acc,1532444.0,1530.3928571777344
87,ails2_etaMax0.010_stoppingTime172800.00,1531555.0,1542.8808571777345
88,ails2_eoh_acc_large,1531695.0,1570.2828571777343
89,ails2_etaMax0.005_stoppingTime86400.00,1532067.0,1541.2778571777344
90,ails2_etaMax0.020_stoppingTime86400.00,1532749.0,1589.2338571777343
91,ails2_eoh_omega2,1532403.0,1580.5378571777344
92,ails2_eoh_acc,1532404.0,1596.4838571777343
93,ails2_etaMax0.010_stoppingTime172800.00,1531539.0,1592.8868571777343
94,ails2_eoh_acc_large,1531633.0,1624.3388571777343
95,ails2_etaMax0.005_stoppingTime86400.00,1532058.0,1622.6208571777345
96,ails2_etaMax0.020_stoppingTime86400.00,1532608.0,1649.1948571777343
97,ails2_eoh_omega2,1532326.0,1661.7578571777344
98,ails2_eoh_acc,1532358.0,1659.2208571777344
99,ails2_eoh_acc_large,1531605.0,1684.3068571777344
100,ails2_etaMax0.005_stoppingTime86400.00,1532003.0,1693.5748571777344
101,ails2_etaMax0.010_stoppingTime172800.00,1531538.0,1696.9258571777343
102,ails2_etaMax0.020_stoppingTime86400.00,1532539.0,1684.8948571777344
103,ails2_eoh_omega2,1532228.0,1715.0798571777343
104,ails2_eoh_acc,1532329.0,1709.4428571777344
105,ails2_eoh_acc_large,1531530.0,1750.3438571777344
106,ails2_etaMax0.010_stoppingTime172800.00,1531499.0,1732.9648571777343
107,ails2_etaMax0.005_stoppingTime86400.00,1531934.0,1757.3668571777343
108,ails2_etaMax0.020_stoppingTime86400.00,1532530.0,1780.4848571777343
109,ails2_eoh_omega2,1532186.0,1776.9308571777344
110,ails2_eoh_acc,1532294.0,1774.3868571777343
111,ails2_eoh_acc_large,1531484.0,1806.6188571777343
112,ails2_etaMax0.005_stoppingTime86400.00,1531875.0,1774.0768571777344
113,ails2_etaMax0.010_stoppingTime172800.00,1531482.0,1778.1958571777343
114,ails2_etaMax0.020_stoppingTime86400.00,1532438.0,1836.9198571777345
115,ails2_eoh_omega2,1532115.0,1826.3328571777345
116,ails2_eoh_acc,1532282.0,1837.8618571777345
117,ails2_eoh_acc_large,1531477.0,1862.8098571777343
118,ails2_etaMax0.005_stoppingTime86400.00,1531860.0,1874.7358571777345
119,ails2_etaMax0.010_stoppingTime172800.00,1531478.0,1875.6468571777343
120,ails2_eoh_omega2,1532111.0,1857.7818571777343
121,ails2_eoh_acc,1532255.0,1892.1578571777343
122,ails2_etaMax0.020_stoppingTime86400.00,1532436.0,1938.7538571777343
123,ails2_eoh_acc_large,1531426.0,1937.1528571777344
124,ails2_etaMax0.005_stoppingTime86400.00,1531795.0,1930.2338571777343
125,ails2_etaMax0.010_stoppingTime172800.00,1531428.0,1912.5558571777344
126,ails2_eoh_omega2,1532085.0,1958.4108571777344
127,ails2_eoh_acc,1532223.0,1943.4638571777343
128,ails2_eoh_acc_large,1531420.0,1992.4608571777344
129,ails2_etaMax0.020_stoppingTime86400.00,1532428.0,1999.5838571777344
130,ails2_etaMax0.005_stoppingTime86400.00,1531770.0,1964.9238571777344
131,ails2_etaMax0.010_stoppingTime172800.00,1531427.0,2020.7288571777344
132,ails2_eoh_omega2,1532021.0,2026.5428571777343
133,ails2_eoh_acc,1532212.0,1987.2278571777344
134,ails2_eoh_acc_large,1531378.0,2051.921857177734
135,ails2_etaMax0.020_stoppingTime86400.00,1532404.0,2057.200857177734
136,ails2_etaMax0.005_stoppingTime86400.00,1531723.0,2060.4388571777345
137,ails2_etaMax0.010_stoppingTime172800.00,1531404.0,2058.2308571777344
138,ails2_eoh_omega2,1532001.0,2052.4188571777345
139,ails2_eoh_acc,1532203.0,2059.104857177734
140,ails2_etaMax0.020_stoppingTime86400.00,1532366.0,2121.0908571777345
