Method,Strict Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10,Rank 11,Rank 12,Rank 13
AILS2_Eta_Cycle_1800_0.05,0,0,0,0,0,1,0,0,1,2,1,0,3
AILS2_Eta_Cycle_1800_0.1,1,0,0,1,2,0,0,1,0,0,1,1,1
AILS2_Eta_Cycle_1800_0.25,1,1,0,1,2,0,3,0,0,0,0,0,0
AILS2_Eta_Cycle_1800_0.5,1,1,0,1,0,1,1,1,1,0,1,0,0
AILS2_Eta_Cycle_1800_0.75,0,0,1,0,1,1,1,1,2,0,0,1,0
AILS2_Eta_Cycle_1800_1,0,0,0,2,0,0,0,2,0,1,0,1,2
AILS2_Eta_Cycle_3600_0.05,0,0,1,1,2,1,1,0,1,0,0,1,0
AILS2_Eta_Cycle_3600_0.1,0,2,2,0,0,1,1,0,0,1,0,1,0
AILS2_Eta_Cycle_3600_0.25,0,3,3,1,0,1,0,0,0,0,0,0,0
AILS2_Eta_Cycle_3600_0.5,0,0,0,1,1,0,1,0,2,1,0,1,1
AILS2_Eta_Cycle_3600_0.75,0,0,0,1,0,0,0,0,1,3,3,0,0
AILS2_Eta_Cycle_3600_1,0,1,0,0,0,2,0,2,0,0,2,1,0
Mahdi_baseline,5,0,1,0,0,0,0,1,0,0,0,1,0
