Instance File Name,n (from file),k (Vehicles),n (raw script arg),Depot Positioning,Customer Positioning,Demand Distribution,Average Route Size,Seed
XLTEST-n1048-k139.vrp,1048,139,1047,2,3,3,2,423796
XLTEST-n1094-k9.vrp,1094,9,1093,1,2,4,7,730929
XLTEST-n1141-k75.vrp,1141,75,1140,3,1,5,4,610871
XLTEST-n1188-k72.vrp,1188,72,1187,3,1,7,5,602976
XLTEST-n1234-k252.vrp,1234,252,1233,1,3,2,1,725786
XLTEST-n1281-k42.vrp,1281,42,1280,2,2,1,6,344721
XLTEST-n1328-k115.vrp,1328,115,1327,3,3,6,3,904552
XLTEST-n1374-k71.vrp,1374,71,1373,1,1,5,5,254997
XLTEST-n1421-k12.vrp,1421,12,1420,2,2,4,7,751691
XLTEST-n1468-k47.vrp,1468,47,1467,1,2,2,6,285902
XLTEST-n1514-k125.vrp,1514,125,1513,2,1,3,4,206576
XLTEST-n1561-k156.vrp,1561,156,1560,3,3,1,3,359172
XLTEST-n1608-k488.vrp,1608,488,1607,2,1,7,1,563931
XLTEST-n1654-k322.vrp,1654,322,1653,3,3,6,2,401357
XLTEST-n1701-k10.vrp,1701,10,1700,1,2,1,7,796031
XLTEST-n1748-k293.vrp,1748,293,1747,3,3,4,2,351199
XLTEST-n1794-k405.vrp,1794,405,1793,2,2,3,1,447108
XLTEST-n1841-k37.vrp,1841,37,1840,1,1,7,6,467319
XLTEST-n1888-k206.vrp,1888,206,1887,2,3,6,3,294749
XLTEST-n1934-k107.vrp,1934,107,1933,3,2,2,5,750986
XLTEST-n1981-k146.vrp,1981,146,1980,1,1,5,4,446555
XLTEST-n2028-k406.vrp,2028,406,2027,1,1,1,2,654938
XLTEST-n2074-k225.vrp,2074,225,2073,3,2,7,3,592514
XLTEST-n2121-k107.vrp,2121,107,2120,2,3,3,5,444879
XLTEST-n2168-k625.vrp,2168,625,2167,2,2,6,1,743272
XLTEST-n2214-k61.vrp,2214,61,2213,1,3,5,6,280849
XLTEST-n2261-k168.vrp,2261,168,2260,3,1,2,4,235109
XLTEST-n2307-k13.vrp,2307,13,2306,3,1,4,7,887448
XLTEST-n2354-k217.vrp,2354,217,2353,2,3,2,3,219096
XLTEST-n2401-k16.vrp,2401,16,2400,1,2,4,7,226681
XLTEST-n2447-k199.vrp,2447,199,2446,3,1,3,4,607494
XLTEST-n2494-k624.vrp,2494,624,2493,2,2,1,1,309234
XLTEST-n2541-k92.vrp,2541,92,2540,1,3,7,6,579698
XLTEST-n2587-k114.vrp,2587,114,2586,3,1,6,5,138797
XLTEST-n2634-k380.vrp,2634,380,2633,2,3,5,2,528239
XLTEST-n2681-k15.vrp,2681,15,2680,1,2,2,7,989176
XLTEST-n2727-k175.vrp,2727,175,2726,1,1,3,4,467077
XLTEST-n2774-k349.vrp,2774,349,2773,2,2,5,2,350582
XLTEST-n2821-k336.vrp,2821,336,2820,3,3,4,3,422893
XLTEST-n2867-k169.vrp,2867,169,2866,2,2,6,5,395262
XLTEST-n2914-k852.vrp,2914,852,2913,1,1,7,1,599414
XLTEST-n2961-k73.vrp,2961,73,2960,3,3,1,6,473838
XLTEST-n3007-k152.vrp,3007,152,3006,3,1,7,5,606624
XLTEST-n3054-k306.vrp,3054,306,3053,1,2,1,3,351106
XLTEST-n3101-k685.vrp,3101,685,3100,2,3,3,1,768320
XLTEST-n3147-k215.vrp,3147,215,3146,3,3,2,4,998661
XLTEST-n3194-k93.vrp,3194,93,3193,2,1,6,6,701465
XLTEST-n3241-k628.vrp,3241,628,3240,1,2,5,2,373822
XLTEST-n3287-k35.vrp,3287,35,3286,3,2,4,7,798914
XLTEST-n3334-k1011.vrp,3334,1011,3333,1,3,4,1,492479
XLTEST-n3408-k627.vrp,3408,627,3407,2,1,7,2,843149
XLTEST-n3484-k291.vrp,3484,291,3483,3,3,5,3,847657
XLTEST-n3561-k54.vrp,3561,54,3560,1,2,2,7,734277
XLTEST-n3640-k144.vrp,3640,144,3639,2,1,3,6,179118
XLTEST-n3721-k197.vrp,3721,197,3720,1,2,6,5,947922
XLTEST-n3804-k254.vrp,3804,254,3803,3,3,1,4,886048
XLTEST-n3888-k548.vrp,3888,548,3887,2,1,5,2,208136
XLTEST-n3975-k489.vrp,3975,489,3974,2,2,2,3,465619
XLTEST-n4063-k944.vrp,4063,944,4062,1,3,6,1,750450
XLTEST-n4153-k218.vrp,4153,218,4152,3,1,4,5,707633
XLTEST-n4245-k164.vrp,4245,164,4244,1,3,1,6,948671
XLTEST-n4340-k33.vrp,4340,33,4339,3,2,3,7,954138
XLTEST-n4436-k335.vrp,4436,335,4435,2,1,7,4,483857
XLTEST-n4535-k1092.vrp,4535,1092,4534,3,3,6,1,660658
XLTEST-n4635-k313.vrp,4635,313,4634,1,2,2,4,820929
XLTEST-n4738-k456.vrp,4738,456,4737,2,1,5,3,872480
XLTEST-n4844-k45.vrp,4844,45,4843,2,1,4,7,196479
XLTEST-n4951-k225.vrp,4951,225,4950,3,2,1,5,732593
XLTEST-n5061-k951.vrp,5061,951,5060,1,3,7,2,171510
XLTEST-n5174-k170.vrp,5174,170,5173,3,3,3,6,702001
XLTEST-n5288-k482.vrp,5288,482,5287,1,1,2,3,354828
XLTEST-n5406-k29.vrp,5406,29,5405,2,2,3,7,797541
XLTEST-n5526-k321.vrp,5526,321,5525,1,3,4,5,960019
XLTEST-n5649-k365.vrp,5649,365,5648,3,1,5,4,131566
XLTEST-n5774-k885.vrp,5774,885,5773,2,2,7,2,337399
XLTEST-n5902-k126.vrp,5902,126,5901,2,1,1,6,123789
XLTEST-n6034-k1234.vrp,6034,1234,6033,1,3,6,1,947493
XLTEST-n6168-k554.vrp,6168,554,6167,3,2,4,3,949838
XLTEST-n6305-k58.vrp,6305,58,6304,3,1,6,7,637579
XLTEST-n6445-k189.vrp,6445,189,6444,2,2,5,6,910033
XLTEST-n6588-k267.vrp,6588,267,6587,1,3,3,5,503336
XLTEST-n6734-k1123.vrp,6734,1123,6733,2,1,1,2,410580
XLTEST-n6884-k434.vrp,6884,434,6883,1,3,2,4,994203
XLTEST-n7037-k2302.vrp,7037,2302,7036,3,2,7,1,829690
XLTEST-n7193-k157.vrp,7193,157,7192,1,3,6,6,190612
XLTEST-n7353-k77.vrp,7353,77,7352,2,2,1,7,298281
XLTEST-n7516-k1223.vrp,7516,1223,7515,3,1,4,2,523732
XLTEST-n7683-k1624.vrp,7683,1624,7682,1,3,2,1,529703
XLTEST-n7854-k395.vrp,7854,395,7853,3,1,7,5,730877
XLTEST-n8028-k986.vrp,8028,986,8027,2,2,5,3,621352
XLTEST-n8207-k649.vrp,8207,649,8206,1,3,3,4,736286
XLTEST-n8389-k1106.vrp,8389,1106,8388,3,1,4,2,760372
XLTEST-n8575-k343.vrp,8575,343,8574,2,2,5,5,939105
XLTEST-n8766-k154.vrp,8766,154,8765,3,2,1,7,928643
XLTEST-n8960-k2144.vrp,8960,2144,8959,2,3,7,1,859376
XLTEST-n9160-k364.vrp,9160,364,9159,1,1,3,6,999448
XLTEST-n9363-k744.vrp,9363,744,9362,1,2,2,4,745341
XLTEST-n9571-k980.vrp,9571,980,9570,3,3,6,3,260198
XLTEST-n9784-k890.vrp,9784,890,9783,2,1,1,3,602412
XLTEST-n10001-k806.vrp,10001,806,10000,2,1,2,4,777357
