Instance File Name,n (from file),k (Vehicles),n (raw script arg),Depot Positioning,Customer Positioning,Demand Distribution,Average Route Size,Seed,Mahdi_baseline,AILSII_perturbation2_5d,AILSII_deco_5d
XLTEST-n1048-k139,1048,139,1047,2,3,3,2,423796,0.0,-0.001611058304200029,-0.025776932867200463
XLTEST-n1094-k9,1094,9,1093,1,2,4,7,730929,0.0,0.0,0.016631555604834238
XLTEST-n1141-k75,1141,75,1140,3,1,5,4,610871,0.0,-0.042125580184127084,-0.048252937301818295
XLTEST-n1188-k72,1188,72,1187,3,1,7,5,602976,0.0,0.021759979368315856,0.05319106067810544
XLTEST-n1234-k252,1234,252,1233,1,3,2,1,725786,0.0,-0.014732965009208102,-0.0018416206261510127
XLTEST-n1281-k42,1281,42,1280,2,2,1,6,344721,0.0,-0.03067313590987675,-0.033461602810774635
XLTEST-n1328-k115,1328,115,1327,3,3,6,3,904552,0.0,0.05368826586901243,0.06017805624878316
XLTEST-n1374-k71,1374,71,1373,1,1,5,5,254997,0.0,0.0013927770581762978,-0.009749439407234084
XLTEST-n1421-k12,1421,12,1420,2,2,4,7,751691,0.0,0.0767321146468066,0.2031144211238998
XLTEST-n1468-k47,1468,47,1467,1,2,2,6,285902,0.0,0.026046362525295026,-0.010017831740498086
XLTEST-n1514-k125,1514,125,1513,2,1,3,4,206576,0.0,-0.018476807207714507,0.007038783698176955
XLTEST-n1561-k156,1561,156,1560,3,3,1,3,359172,0.0,0.003952654387087037,0.0010779966510237374
XLTEST-n1608-k488,1608,488,1607,2,1,7,1,563931,0.0,0.013223810793715164,0.01454619187308668
XLTEST-n1654-k322,1654,322,1653,3,3,6,2,401357,0.0,0.07341703874621677,0.08510383266908393
XLTEST-n1701-k10,1701,10,1700,1,2,1,7,796031,0.0,-0.1146022347435775,0.009550186228631458
XLTEST-n1748-k293,1748,293,1747,3,3,4,2,351199,0.0,0.09010598872637055,0.08117843684795134
XLTEST-n1794-k405,1794,405,1793,2,2,3,1,447108,0.0,0.009173766004502582,0.015868135791572036
XLTEST-n1841-k37,1841,37,1840,1,1,7,6,467319,0.0,0.03408499721938181,0.04126078610767271
XLTEST-n1888-k206,1888,206,1887,2,3,6,3,294749,0.0,0.023296656033833914,0.04659331206766783
XLTEST-n1934-k107,1934,107,1933,3,2,2,5,750986,0.0,0.029928172386272944,0.052374301675977654
XLTEST-n1981-k146,1981,146,1980,1,1,5,4,446555,0.0,0.0502789056274428,0.051701893522559106
XLTEST-n2028-k406,2028,406,2027,1,1,1,2,654938,0.0,-0.0010487193039859723,0.0008389754431887778
XLTEST-n2074-k225,2074,225,2073,3,2,7,3,592514,0.0,0.06465780163474442,0.07661339514456508
XLTEST-n2121-k107,2121,107,2120,2,3,3,5,444879,0.0,0.03283634162108914,-0.03386247729674818
XLTEST-n2168-k625,2168,625,2167,2,2,6,1,743272,0.0,0.008491591437456598,0.031135835270674192
XLTEST-n2214-k61,2214,61,2213,1,3,5,6,280849,0.0,0.06172376114572647,0.028359565931820267
XLTEST-n2261-k168,2261,168,2260,3,1,2,4,235109,0.0,0.03412411223989251,0.07358011701726823
XLTEST-n2307-k13,2307,13,2306,3,1,4,7,887448,0.0,0.10625274293765735,0.057746055944379
XLTEST-n2354-k217,2354,217,2353,2,3,2,3,219096,0.0,-0.004968038949425363,0.02484019474712682
XLTEST-n2401-k16,2401,16,2400,1,2,4,7,226681,0.0,-0.021692646192940594,-0.021692646192940594
XLTEST-n2447-k199,2447,199,2446,3,1,3,4,607494,0.0,0.012512283400167239,0.16937359236811747
XLTEST-n2494-k624,2494,624,2493,2,2,1,1,309234,0.0,-0.00037147378509498586,0.010772739767754589
XLTEST-n2541-k92,2541,92,2540,1,3,7,6,579698,0.0,0.06765067650676507,0.3400105429625725
XLTEST-n2587-k114,2587,114,2586,3,1,6,5,138797,0.0,0.14135223532567762,0.08718440791985226
XLTEST-n2634-k380,2634,380,2633,2,3,5,2,528239,0.0,0.008346522900385796,0.19815263626471463
XLTEST-n2681-k15,2681,15,2680,1,2,2,7,989176,0.0,-0.18597465022460016,-0.03719493004492003
XLTEST-n2727-k175,2727,175,2726,1,1,3,4,467077,0.0,-0.013560547846132984,-0.011094993692290623
XLTEST-n2774-k349,2774,349,2773,2,2,5,2,350582,0.0,0.019913230546242767,0.016648766522268543
XLTEST-n2821-k336,2821,336,2820,3,3,4,3,422893,0.0,0.09304957746785437,0.0926868110839641
XLTEST-n2867-k169,2867,169,2866,2,2,6,5,395262,0.0,-0.0013805766668737532,0.006902883334368766
XLTEST-n2914-k852,2914,852,2913,1,1,7,1,599414,0.0,-0.007638868259229238,-0.008572507713135034
XLTEST-n2961-k73,2961,73,2960,3,3,1,6,473838,0.0,0.052897653085138434,0.056245605812045935
XLTEST-n3007-k152,3007,152,3006,3,1,7,5,606624,0.0,0.03605668110269344,0.05007872375374088
XLTEST-n3054-k306,3054,306,3053,1,2,1,3,351106,0.0,0.013064870781032766,0.01429740576037548
XLTEST-n3101-k685,3101,685,3100,2,3,3,1,768320,0.0,-0.006750527162877786,0.0007105818066187143
XLTEST-n3147-k215,3147,215,3146,3,3,2,4,998661,0.0,0.03036005382755489,0.08232771353237858
XLTEST-n3194-k93,3194,93,3193,2,1,6,6,701465,0.0,0.038810103213896115,0.011538138793320466
XLTEST-n3241-k628,3241,628,3240,1,2,5,2,373822,0.0,0.07446334120639148,0.2895322464672585
XLTEST-n3287-k35,3287,35,3286,3,2,4,7,798914,0.0,-0.0012657426745142713,-0.0025314853490285426
XLTEST-n3334-k1011,3334,1011,3333,1,3,4,1,492479,0.0,0.14048255169532897,0.15916790501970768
XLTEST-n3408-k627,3408,627,3407,2,1,7,2,843149,0.0,-0.016345459383434065,-0.006272094879689816
XLTEST-n3484-k291,3484,291,3483,3,3,5,3,847657,0.0,0.08389735908776193,0.0720634158059092
XLTEST-n3561-k54,3561,54,3560,1,2,2,7,734277,0.0,-0.02836164245422746,0.04254246368134119
XLTEST-n3640-k144,3640,144,3639,2,1,3,6,179118,0.0,0.010853677949667876,0.03617892649889293
XLTEST-n3721-k197,3721,197,3720,1,2,6,5,947922,0.0,0.10355761998888835,0.09713251217935878
XLTEST-n3804-k254,3804,254,3803,3,3,1,4,886048,0.0,0.01656017256990221,0.029249135967619484
XLTEST-n3888-k548,3888,548,3887,2,1,5,2,208136,0.0,0.022700575007768887,0.05267414977530838
XLTEST-n3975-k489,3975,489,3974,2,2,2,3,465619,0.0,0.048324703921918705,0.05260965303814795
