It      0      2 | T(s) 125.69 | Feas 59 608009.00 608824.88 | Inf 1 609055.96 609055.96 | Div 0.74 -nan | Feas 0.99 1.00 | Pen 11.96 0.85
It    500     13 | T(s) 308.98 | Feas 28 605574.00 606455.68 | Inf 34 605332.94 606234.21 | Div 0.71 0.71 | Feas 0.26 1.00 | Pen 5.31 0.38
It   1000    209 | T(s) 503.01 | Feas 34 604545.00 605268.52 | Inf 63 604162.37 605062.50 | Div 0.68 0.65 | Feas 0.24 1.00 | Pen 6.37 0.17
It   1500    173 | T(s) 673.27 | Feas 54 604088.00 604543.12 | Inf 35 603955.42 604611.23 | Div 0.60 0.67 | Feas 0.29 1.00 | Pen 5.52 0.10
It   2000    673 | T(s) 842.24 | Feas 65 604088.00 604465.44 | Inf 38 603793.00 604447.49 | Div 0.63 0.66 | Feas 0.24 1.00 | Pen 7.95 0.10
It   2500    183 | T(s) 1009.73 | Feas 49 603511.00 604237.48 | Inf 49 603400.68 604119.34 | Div 0.63 0.62 | Feas 0.34 1.00 | Pen 6.89 0.10
It   3000    282 | T(s) 1179.79 | Feas 29 603216.00 604137.40 | Inf 39 603147.03 603919.46 | Div 0.66 0.60 | Feas 0.21 1.00 | Pen 7.17 0.10
It   3500    136 | T(s) 1343.94 | Feas 40 603160.00 603806.68 | Inf 62 603089.89 603614.23 | Div 0.61 0.50 | Feas 0.28 1.00 | Pen 7.31 0.10
It   4000    301 | T(s) 1516.85 | Feas 63 603150.00 603597.28 | Inf 60 603092.11 603470.53 | Div 0.45 0.42 | Feas 0.21 1.00 | Pen 8.78 0.10
It   4500    140 | T(s) 1677.21 | Feas 61 602761.00 603412.00 | Inf 43 602999.22 603361.08 | Div 0.48 0.41 | Feas 0.18 1.00 | Pen 7.61 0.10
It   5000     40 | T(s) 1854.84 | Feas 37 602552.00 603371.28 | Inf 28 602819.01 603512.22 | Div 0.59 0.60 | Feas 0.21 1.00 | Pen 7.76 0.10
It   5500    540 | T(s) 2066.07 | Feas 42 602552.00 603046.88 | Inf 43 602747.65 603190.11 | Div 0.48 0.55 | Feas 0.37 1.00 | Pen 6.86 0.10
It   6000   1040 | T(s) 2300.22 | Feas 63 602552.00 602936.52 | Inf 35 602557.73 603314.94 | Div 0.43 0.60 | Feas 0.16 1.00 | Pen 6.86 0.10
It   6500     37 | T(s) 2533.93 | Feas 29 602440.00 602947.84 | Inf 64 602213.85 602711.93 | Div 0.52 0.41 | Feas 0.09 1.00 | Pen 7.14 0.10
It   7000    392 | T(s) 2695.63 | Feas 44 602335.00 602687.68 | Inf 47 602213.85 602749.20 | Div 0.43 0.47 | Feas 0.17 1.00 | Pen 7.14 0.10
It   7500    892 | T(s) 2836.62 | Feas 45 602335.00 602627.16 | Inf 33 602208.15 602621.67 | Div 0.35 0.46 | Feas 0.27 1.00 | Pen 6.19 0.10
It   8000    161 | T(s) 2982.66 | Feas 54 601987.00 602512.28 | Inf 28 602011.05 602743.78 | Div 0.41 0.55 | Feas 0.21 1.00 | Pen 7.58 0.10
It   8500    661 | T(s) 3128.37 | Feas 56 601987.00 602607.52 | Inf 60 601996.44 602489.22 | Div 0.51 0.49 | Feas 0.27 1.00 | Pen 6.44 0.10
It   9000   1161 | T(s) 3284.87 | Feas 52 601987.00 602575.12 | Inf 59 601999.28 602670.47 | Div 0.51 0.52 | Feas 0.15 1.00 | Pen 9.28 0.10
It   9500   1661 | T(s) 3434.69 | Feas 52 601987.00 602511.76 | Inf 25 601998.20 602898.73 | Div 0.49 0.60 | Feas 0.37 1.00 | Pen 8.20 0.10
It  10000   2161 | T(s) 3580.13 | Feas 61 601987.00 602404.56 | Inf 57 601908.11 602297.09 | Div 0.47 0.47 | Feas 0.28 1.00 | Pen 7.11 0.10
It  10500    167 | T(s) 3729.15 | Feas 49 601795.00 602388.76 | Inf 57 601788.25 602183.54 | Div 0.51 0.44 | Feas 0.17 1.00 | Pen 7.25 0.10
It  11000    667 | T(s) 3876.21 | Feas 32 601795.00 602453.80 | Inf 54 601788.25 602186.96 | Div 0.56 0.44 | Feas 0.20 1.00 | Pen 7.25 0.10
It  11500   1167 | T(s) 4025.04 | Feas 41 601795.00 602404.96 | Inf 37 601788.55 602242.54 | Div 0.54 0.48 | Feas 0.28 1.00 | Pen 7.55 0.10
It  12000   1667 | T(s) 4175.12 | Feas 51 601795.00 602246.72 | Inf 28 601723.39 602211.53 | Div 0.48 0.51 | Feas 0.24 1.00 | Pen 9.24 0.10
It  12500    384 | T(s) 4322.81 | Feas 31 601780.00 602268.44 | Inf 42 601711.10 602177.50 | Div 0.52 0.48 | Feas 0.20 1.00 | Pen 8.01 0.10
It  13000    884 | T(s) 4471.03 | Feas 25 601780.00 602585.08 | Inf 28 601614.01 602249.67 | Div 0.55 0.54 | Feas 0.18 1.00 | Pen 8.01 0.10
It  13500   1384 | T(s) 4617.05 | Feas 62 601780.00 602050.20 | Inf 62 601614.01 602030.52 | Div 0.42 0.41 | Feas 0.22 1.00 | Pen 8.01 0.10
It  14000    194 | T(s) 4764.10 | Feas 34 601604.00 602137.36 | Inf 58 601605.61 601946.75 | Div 0.47 0.41 | Feas 0.18 1.00 | Pen 9.80 0.10
It  14500    694 | T(s) 4912.16 | Feas 43 601604.00 601984.96 | Inf 41 601576.34 601949.98 | Div 0.42 0.45 | Feas 0.20 1.00 | Pen 8.33 0.10
It  15000    240 | T(s) 5055.16 | Feas 60 601546.00 601973.88 | Inf 65 601538.68 601971.91 | Div 0.42 0.45 | Feas 0.18 1.00 | Pen 7.23 0.10
It  15500     88 | T(s) 5202.70 | Feas 50 601308.00 601954.96 | Inf 48 601539.11 601945.24 | Div 0.46 0.46 | Feas 0.22 1.00 | Pen 7.37 0.10
It  16000    588 | T(s) 5348.12 | Feas 27 601308.00 602062.96 | Inf 50 601479.06 601790.85 | Div 0.51 0.41 | Feas 0.16 1.00 | Pen 8.84 0.10
It  16500   1088 | T(s) 5495.60 | Feas 53 601308.00 602020.44 | Inf 27 601480.12 602120.01 | Div 0.47 0.54 | Feas 0.25 1.00 | Pen 9.02 0.10
It  17000   1588 | T(s) 5646.57 | Feas 44 601308.00 602170.44 | Inf 47 601480.12 602010.46 | Div 0.50 0.47 | Feas 0.23 1.00 | Pen 9.02 0.10
It  17500   2088 | T(s) 5795.24 | Feas 37 601308.00 601951.04 | Inf 34 601481.21 601973.02 | Div 0.51 0.51 | Feas 0.15 1.00 | Pen 9.20 0.10
It  18000   2588 | T(s) 5941.25 | Feas 52 601308.00 601681.36 | Inf 28 601479.44 601857.87 | Div 0.43 0.47 | Feas 0.11 1.00 | Pen 9.57 0.10
It  18500   3088 | T(s) 6085.87 | Feas 58 601308.00 601742.56 | Inf 60 601471.80 601679.94 | Div 0.41 0.40 | Feas 0.23 1.00 | Pen 8.30 0.10
It  19000   3588 | T(s) 6232.00 | Feas 64 601308.00 601692.92 | Inf 47 601472.79 601916.35 | Div 0.42 0.47 | Feas 0.18 1.00 | Pen 8.47 0.10
It  19500   4088 | T(s) 6377.45 | Feas 46 601308.00 601750.16 | Inf 65 601465.17 601819.58 | Div 0.44 0.45 | Feas 0.29 1.00 | Pen 7.20 0.10
It  20000   4588 | T(s) 6520.74 | Feas 44 601308.00 601775.96 | Inf 59 601395.81 601813.52 | Div 0.45 0.46 | Feas 0.13 1.00 | Pen 8.81 0.10
It  20500   5088 | T(s) 6666.02 | Feas 54 601308.00 601683.80 | Inf 43 601379.49 601869.03 | Div 0.43 0.50 | Feas 0.22 1.00 | Pen 7.49 0.10
It  21000   5588 | T(s) 6808.63 | Feas 56 601308.00 601566.36 | Inf 35 601284.82 601655.85 | Div 0.36 0.42 | Feas 0.29 1.00 | Pen 7.64 0.10
It  21500   6088 | T(s) 6952.56 | Feas 59 601308.00 601557.16 | Inf 29 601259.37 601686.00 | Div 0.35 0.48 | Feas 0.18 1.00 | Pen 7.79 0.10
It  22000    335 | T(s) 7103.89 | Feas 63 601250.00 601651.60 | Inf 52 601259.83 601697.00 | Div 0.37 0.40 | Feas 0.33 1.00 | Pen 7.94 0.10
It  22500    835 | T(s) 7247.77 | Feas 54 601250.00 601643.00 | Inf 36 601259.10 601722.06 | Div 0.42 0.46 | Feas 0.23 1.00 | Pen 8.10 0.10
It  23000    247 | T(s) 7390.49 | Feas 32 601248.00 601489.00 | Inf 54 601164.10 601474.49 | Div 0.35 0.32 | Feas 0.23 1.00 | Pen 8.10 0.10
It  23500    405 | T(s) 7531.32 | Feas 32 601207.00 601706.40 | Inf 48 601164.06 601714.44 | Div 0.41 0.44 | Feas 0.22 1.00 | Pen 8.27 0.10
It  24000     60 | T(s) 7672.00 | Feas 54 601095.00 601349.52 | Inf 29 601082.43 601644.85 | Div 0.32 0.45 | Feas 0.21 1.00 | Pen 8.43 0.10
It  24500    560 | T(s) 7814.89 | Feas 58 601095.00 601414.28 | Inf 53 601082.60 601562.30 | Div 0.33 0.40 | Feas 0.27 1.00 | Pen 8.60 0.10
It  25000   1060 | T(s) 7954.51 | Feas 59 601095.00 601400.08 | Inf 46 601056.34 601446.67 | Div 0.34 0.35 | Feas 0.21 1.00 | Pen 8.77 0.10
It  25500    321 | T(s) 8091.77 | Feas 51 601089.00 601403.56 | Inf 43 601030.89 601367.43 | Div 0.35 0.32 | Feas 0.10 1.00 | Pen 8.95 0.10
It  26000     39 | T(s) 8230.58 | Feas 58 600950.00 601245.72 | Inf 62 601028.21 601281.53 | Div 0.29 0.29 | Feas 0.28 1.00 | Pen 7.60 0.10
It  26500    366 | T(s) 8370.07 | Feas 38 600948.00 601403.56 | Inf 50 600947.13 601359.40 | Div 0.39 0.36 | Feas 0.24 1.00 | Pen 9.13 0.10
It  27000    866 | T(s) 8514.32 | Feas 52 600948.00 601418.92 | Inf 30 600945.91 601506.30 | Div 0.37 0.43 | Feas 0.18 1.00 | Pen 7.91 0.10
It  27500   1366 | T(s) 8655.71 | Feas 62 600948.00 601386.08 | Inf 60 600944.46 601331.90 | Div 0.37 0.39 | Feas 0.20 1.00 | Pen 8.23 0.10
It  28000   1866 | T(s) 8795.11 | Feas 48 600948.00 601354.24 | Inf 48 600890.46 601424.79 | Div 0.41 0.42 | Feas 0.21 1.00 | Pen 8.23 0.10
It  28500    399 | T(s) 8940.38 | Feas 28 600834.00 601783.84 | Inf 65 600888.27 601372.53 | Div 0.51 0.39 | Feas 0.26 1.00 | Pen 7.14 0.10
It  29000    899 | T(s) 9087.95 | Feas 60 600834.00 601369.44 | Inf 34 600891.13 601462.90 | Div 0.37 0.45 | Feas 0.16 1.00 | Pen 8.56 0.10
It  29500    292 | T(s) 9233.57 | Feas 31 600823.00 601517.48 | Inf 27 600875.74 601586.84 | Div 0.46 0.48 | Feas 0.16 1.00 | Pen 8.74 0.10
It  30000    792 | T(s) 9381.42 | Feas 58 600823.00 601398.64 | Inf 59 600877.69 601234.10 | Div 0.41 0.37 | Feas 0.15 1.00 | Pen 10.69 0.10
It  30500   1292 | T(s) 9527.56 | Feas 51 600823.00 601280.92 | Inf 32 600733.91 601281.96 | Div 0.39 0.41 | Feas 0.13 1.00 | Pen 9.46 0.10
It  31000    202 | T(s) 9671.29 | Feas 45 600716.00 601284.36 | Inf 55 600711.20 601245.64 | Div 0.39 0.37 | Feas 0.25 1.00 | Pen 9.46 0.10
It  31500    702 | T(s) 9819.53 | Feas 35 600716.00 601557.40 | Inf 26 600714.61 601734.71 | Div 0.46 0.51 | Feas 0.38 1.00 | Pen 9.64 0.10
It  32000    147 | T(s) 9963.58 | Feas 55 600715.00 601351.40 | Inf 46 600694.53 601291.64 | Div 0.39 0.41 | Feas 0.27 1.00 | Pen 8.53 0.10
It  32500    647 | T(s) 10109.06 | Feas 37 600715.00 601155.44 | Inf 64 600697.60 601014.41 | Div 0.40 0.35 | Feas 0.18 1.00 | Pen 8.70 0.10
It  33000    268 | T(s) 10252.99 | Feas 26 600686.00 601402.08 | Inf 49 600683.60 601101.98 | Div 0.47 0.37 | Feas 0.24 1.00 | Pen 8.87 0.10
It  33500    768 | T(s) 10397.71 | Feas 60 600686.00 601123.80 | Inf 36 600562.02 601144.47 | Div 0.37 0.39 | Feas 0.12 1.00 | Pen 9.23 0.10
It  34000    384 | T(s) 10538.07 | Feas 26 600676.00 601510.48 | Inf 31 600534.90 601059.95 | Div 0.47 0.37 | Feas 0.12 1.00 | Pen 11.30 0.10
It  34500    884 | T(s) 10683.56 | Feas 56 600676.00 601588.12 | Inf 25 600525.49 601270.68 | Div 0.45 0.43 | Feas 0.27 1.00 | Pen 8.16 0.10
It  35000   1384 | T(s) 10833.92 | Feas 30 600676.00 601475.48 | Inf 62 600530.98 600911.34 | Div 0.48 0.34 | Feas 0.17 1.00 | Pen 9.99 0.10
It  35500    238 | T(s) 10979.34 | Feas 34 600580.00 601349.56 | Inf 53 600451.99 600730.52 | Div 0.44 0.27 | Feas 0.16 1.00 | Pen 8.49 0.10
It  36000    229 | T(s) 11124.57 | Feas 57 600569.00 600969.80 | Inf 48 600452.68 600717.06 | Div 0.33 0.25 | Feas 0.26 1.00 | Pen 8.84 0.10
It  36500    128 | T(s) 11264.16 | Feas 63 600566.00 600858.00 | Inf 50 600456.21 600661.59 | Div 0.29 0.25 | Feas 0.18 1.00 | Pen 10.61 0.10
It  37000    628 | T(s) 11402.08 | Feas 57 600566.00 600858.84 | Inf 41 600453.39 600667.08 | Div 0.32 0.28 | Feas 0.26 1.00 | Pen 9.19 0.10
It  37500     94 | T(s) 11542.68 | Feas 49 600463.00 600892.12 | Inf 64 600454.13 600620.56 | Div 0.31 0.23 | Feas 0.32 1.00 | Pen 9.57 0.10
It  38000    141 | T(s) 11678.13 | Feas 34 600414.00 600653.96 | Inf 61 600405.13 600610.77 | Div 0.26 0.24 | Feas 0.16 1.00 | Pen 9.57 0.10
It  38500      2 | T(s) 11813.66 | Feas 55 600307.00 600593.60 | Inf 47 600356.03 600644.91 | Div 0.25 0.28 | Feas 0.31 1.00 | Pen 9.76 0.10
It  39000    502 | T(s) 11952.02 | Feas 37 600307.00 600992.60 | Inf 27 600289.26 600833.77 | Div 0.37 0.38 | Feas 0.27 1.00 | Pen 8.63 0.10
It  39500    245 | T(s) 12093.09 | Feas 34 600296.00 600699.04 | Inf 26 600286.56 600764.70 | Div 0.32 0.36 | Feas 0.21 1.00 | Pen 10.56 0.10
It  40000    170 | T(s) 12233.66 | Feas 62 600265.00 600691.08 | Inf 46 600275.77 600660.03 | Div 0.27 0.31 | Feas 0.15 1.00 | Pen 10.77 0.10
It  40500     25 | T(s) 12369.48 | Feas 28 600176.00 600885.40 | Inf 62 600163.78 600475.52 | Div 0.35 0.25 | Feas 0.17 1.00 | Pen 7.78 0.10
It  41000    525 | T(s) 12508.93 | Feas 64 600176.00 600457.08 | Inf 25 600167.43 600894.23 | Div 0.22 0.37 | Feas 0.15 1.00 | Pen 11.43 0.10
